xl1xv1r src,x1i10hfl href 3,Primer segmento,Segundo segmento,tercer segmento,likes,Respuestas,repost,x1rg5ohu
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV_-W1lGLTe,Focus is subtraction.,,,589,38,45,17/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV_cQQfFZxQ,"If price objections are poison, pain and proof are the cure.",,,253,33,7,17/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV9Ws36j-Lh,"When you die, your life will be summarized into facts about your early life, 1–3 short anecdotes showing your qualities, what you meant to others, and who you’re survived by.",Whatever you’re stressed about today won’t make the list.,,446,35,27,16/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV88CZpDpgj,Focus is what’s left after removing everything that doesn’t matter.,,,566,34,37,16/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV6yP9cj-ff,Everything is hard. Nothing comes easy. It will take longer than you want it to. And you will give up more than you expected to get there.,"And in the end, you will have finished what you came here to do. And that will be enough.",,741,49,65,15/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV6UYZEFQv6,You're not getting what you want because you're not attacking the problems you have enough times and enough ways.,,,379,29,25,15/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV4SmqvCT4V,You have to reject what the vast majority of other people do in order to achieve what other people can’t.,,,645,60,67,14/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV1q1foj3Fm,I no longer feel like I can use an EM dash when writing for fear people think it’s AI.,,,"1,8 mil",272,112,13/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DV1NilKDjsC,You’re not where you want to be because you don’t have the skills to get there yet. But you have all the time in the world to learn them as long as you never give up.,,,845,44,69,13/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVzDSrelJnM,How to know someone uses AI to write:,"It’s not X, it’s Y.",Not A. Not B. Not C. But D.,915,137,28,12/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVymkj4jkYg,"Like it or not, some people are just built for war. And the people who aren’t, need them.",,,530,49,41,12/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVwgjrIER7Z,To achieve great things you have to be willing to be disliked.,"Because in the beginning, you’ll do different stuff than the people around you, and they’ll dislike you for it.","And in the end, you’ll achieve more than the people around you, and they’ll dislike you for it.",660,51,68,11/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVwFqkdjm3j,"You always lose, until you learn, then you win.",,,665,45,45,11/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVt8yuOAQKY,"""If I had ten more of me, I'd be able to scale this thing like crazy""","Sure, but you wouldn't work for you for what you're offering.",,293,21,7,10/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVtasMRjiJL,"Amazon has haters.
Apple has haters.
Nvidia has haters.",It doesn’t matter how good your product or service is. Someone will find something to hate about it because they get more attention from hating than simply agreeing that your product is good.,Hate is “success overhead.”,563,79,50,10/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVrVIxNgQBf,“Do more hard things everyday” is a great mantra but it should be less about ice baths and more about making that decision you’ve been putting off for three months.,,,631,31,36,09/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFqUt4mn862ubY9sW83VFzl40DdAIiZ4nXY5tpqxj5MOp6kq7R5dng18bW2z1qZlyI&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=Wg5iAeMKyz9mDMj2t99dbQ&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_AfxrWoMjS1LmmpWIKuekKQ3KkJVOy4ozZv2hV8QW3r2WyQ&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DVq6eM1lEck,We desperately want to learn someone’s true intentions (their desired outcome) because it helps us predict their behavior,But sometimes our worst pain comes from people w the best intentions,"If someone only hurts you, you need to start listening to your eyes more than your ears",173,19,16,09/03/2026
